No Records;Hazards;No hazards;Total deaths;Total affected;Total damages;Time lag;Spatial overlap
2;"[""fl"", ""fl""]";2;;;;91.0;0.5
1;"[""cw""]";1;3.0;12.0;;91.0;0.5
1;"[""cw""]";1;145.0;6120.0;165.0;91.0;0.5
1;"[""cw""]";1;;;;91.0;0.5
1;"[""fl""]";1;59.0;500000.0;11074.0;91.0;0.5
3;"[""fl"", ""ew"", ""hw"", ""dr""]";4;;;;91.0;0.5
1;"[""fl""]";1;79.0;549326.0;59501.0;91.0;0.5
1;"[""eq""]";1;;700.0;;91.0;0.5
1;"[""ew""]";1;11.0;300.0;479310.0;91.0;0.5
1;"[""fl""]";1;4.0;;63.0;91.0;0.5
1;"[""eq""]";1;6.0;152.0;83.0;91.0;0.5
1;"[""fl""]";1;2.0;12000.0;;91.0;0.5
1;"[""fl""]";1;9.0;5.0;;91.0;0.5
1;"[""ew""]";1;1.0;27.0;;91.0;0.5
1;"[""ew""]";1;5.0;300.0;;91.0;0.5
1;"[""ls""]";1;13.0;150.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;6.0;200.0;;91.0;0.5
1;"[""eq""]";1;20005.0;6321812.0;4335281.0;91.0;0.5
1;"[""eq""]";1;12.0;914292.0;826.0;91.0;0.5
3;"[""fl"", ""fl"", ""ew""]";3;24.0;;;91.0;0.5
2;"[""ew"", ""dr""]";2;;3104871.0;;91.0;0.5
1;"[""fl""]";1;5.0;617900.0;;91.0;0.5
1;"[""fl""]";1;;160.0;;91.0;0.5
1;"[""ew""]";1;;900.0;;91.0;0.5
1;"[""vo""]";1;;;;91.0;0.5
7;"[""eq"", ""ls"", ""ls"", ""fl"", ""ls"", ""ls"", ""fl"", ""ls"", ""ls""]";9;;;;91.0;0.5
1;"[""fl""]";1;;150.0;;91.0;0.5
1;"[""ew""]";1;11.0;30.0;;91.0;0.5
1;"[""eq""]";1;;;;91.0;0.5
2;"[""eq"", ""ls"", ""eq"", ""ls""]";4;1159.0;1590550.0;3055191.0;91.0;0.5
1;"[""fl""]";1;;2559.0;14710.0;91.0;0.5
1;"[""ew""]";1;55.0;100084.0;9917.0;91.0;0.5
1;"[""fl""]";1;;670.0;21486.0;91.0;0.5
1;"[""ew""]";1;27.0;172.0;;91.0;0.5
3;"[""ew"", ""ew"", ""ew""]";3;21.0;18438.0;1635144.0;91.0;0.5
2;"[""cw"", ""eq""]";2;;;;91.0;0.5
1;"[""fl""]";1;;200.0;;91.0;0.5
1;"[""fl""]";1;5.0;200.0;;91.0;0.5
1;"[""eq""]";1;1.0;400.0;3305590.0;91.0;0.5
1;"[""fl""]";1;;46000.0;;91.0;0.5
2;"[""fl"", ""ew""]";2;5.0;;;91.0;0.5
2;"[""fl"", ""dr""]";2;;6030000.0;;91.0;0.5
1;"[""ew""]";1;3.0;3000.0;;91.0;0.5
1;"[""ew""]";1;8.0;;;91.0;0.5
1;"[""fl""]";1;;4000.0;24792.0;91.0;0.5
1;"[""fl""]";1;9.0;300000.0;24792.0;91.0;0.5
1;"[""fl""]";1;;10000.0;8264.0;91.0;0.5
4;"[""fl"", ""ew"", ""fl"", ""fl""]";4;;;;91.0;0.5
1;"[""fl""]";1;11.0;1200.0;;91.0;0.5
1;"[""fl""]";1;4.0;450.0;;91.0;0.5
1;"[""fl""]";1;2.0;6000.0;;91.0;0.5
4;"[""fl"", ""ew"", ""ew"", ""fl""]";4;;;;91.0;0.5
3;"[""fl"", ""fl"", ""fl""]";3;;9090.0;;91.0;0.5
1;"[""ew""]";1;4.0;500.0;;91.0;0.5
1;"[""ew""]";1;;492.0;2975.0;91.0;0.5
1;"[""ew""]";1;193.0;2500.0;;91.0;0.5
1;"[""dr""]";1;;;;91.0;0.5
1;"[""fl""]";1;48.0;39928.0;;91.0;0.5
1;"[""fl""]";1;;7371.0;;91.0;0.5
1;"[""ew""]";1;16.0;175000.0;;91.0;0.5
1;"[""fl""]";1;;1500.0;;91.0;0.5
1;"[""fl""]";1;;;2479.0;91.0;0.5
1;"[""ew""]";1;1.0;1739.0;;91.0;0.5
1;"[""fl""]";1;23.0;4000.0;;91.0;0.5
1;"[""fl""]";1;9.0;310.0;;91.0;0.5
1;"[""ew""]";1;;180.0;;91.0;0.5
1;"[""dr""]";1;;400000.0;37023.0;91.0;0.5
1;"[""ls""]";1;74.0;;;91.0;0.5
1;"[""fl""]";1;1.0;300.0;;91.0;0.5
1;"[""fl""]";1;;2000.0;;91.0;0.5
1;"[""fl""]";1;;775.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;83.0;4130.0;6611.0;91.0;0.5
1;"[""fl""]";1;2.0;9480.0;241308.0;91.0;0.5
1;"[""fl""]";1;32.0;1300.0;;91.0;0.5
1;"[""fl""]";1;3.0;1500.0;;91.0;0.5
1;"[""ew""]";1;12.0;200.0;;91.0;0.5
1;"[""fl""]";1;10.0;50305.0;398324.0;91.0;0.5
1;"[""fl""]";1;;3668.0;;91.0;0.5
1;"[""ew""]";1;;12428.0;28428.0;91.0;0.5
1;"[""fl""]";1;26.0;5081.0;;91.0;0.5
1;"[""fl""]";1;50.0;26.0;;91.0;0.5
1;"[""ls""]";1;1.0;165.0;992.0;91.0;0.5
1;"[""ew""]";1;;300.0;;91.0;0.5
1;"[""ew""]";1;21.0;;;91.0;0.5
1;"[""vo""]";1;;25576.0;1309.0;91.0;0.5
1;"[""fl""]";1;;10000.0;;91.0;0.5
1;"[""ew""]";1;2.0;2400.0;;91.0;0.5
1;"[""eq""]";1;4.0;270.0;;91.0;0.5
1;"[""dr""]";1;;100000.0;;91.0;0.5
1;"[""fl""]";1;;9000.0;;91.0;0.5
1;"[""ls""]";1;144.0;21019.0;;91.0;0.5
1;"[""fl""]";1;;5000.0;;91.0;0.5
1;"[""dr""]";1;;1000000.0;;91.0;0.5
1;"[""dr""]";1;;;;91.0;0.5
1;"[""ew""]";1;5.0;7700.0;;91.0;0.5
1;"[""fl""]";1;51.0;3750.0;;91.0;0.5
1;"[""ew"", ""fl""]";2;41.0;172000.0;9916769.0;91.0;0.5
1;"[""eq"", ""ls""]";2;;201.0;;91.0;0.5
1;"[""ls""]";1;14.0;;;91.0;0.5
1;"[""fl""]";1;5.0;700000.0;;91.0;0.5
3;"[""ew"", ""ew"", ""vo""]";3;;;;91.0;0.5
1;"[""fl""]";1;47.0;8330.0;;91.0;0.5
1;"[""ew""]";1;;93.0;;91.0;0.5
1;"[""ew""]";1;;830.0;387.0;91.0;0.5
1;"[""fl""]";1;166.0;300000.0;198335.0;91.0;0.5
1;"[""ew""]";1;;11126.0;;91.0;0.5
1;"[""fl""]";1;7.0;10803.0;198335.0;91.0;0.5
1;"[""fl""]";1;1.0;2508.0;;91.0;0.5
1;"[""ew""]";1;1.0;1333.0;;91.0;0.5
1;"[""ts"", ""ts""]";2;145.0;349978.0;495838.0;91.0;0.5
1;"[""ew""]";1;125.0;3108000.0;776814.0;91.0;0.5
1;"[""ew""]";1;9.0;116.0;8264.0;91.0;0.5
1;"[""eq""]";1;;480.0;;91.0;0.5
1;"[""fl""]";1;22.0;7.0;;91.0;0.5
1;"[""fl""]";1;12.0;144025.0;;91.0;0.5
1;"[""eq""]";1;;12512.0;;91.0;0.5
1;"[""fl"", ""ls""]";2;30.0;1500.0;;91.0;0.5
1;"[""fl""]";1;9.0;175.0;;91.0;0.5
1;"[""cw""]";1;9.0;5.0;;91.0;0.5
1;"[""ew""]";1;232.0;1902654.0;113324.0;91.0;0.5
1;"[""ls""]";1;16.0;12.0;;91.0;0.5
1;"[""fl""]";1;;200000.0;;91.0;0.5
1;"[""hw""]";1;276.0;;;91.0;0.5
1;"[""fl""]";1;;6000.0;;91.0;0.5
1;"[""fl""]";1;;42356.0;;91.0;0.5
3;"[""ew"", ""fl"", ""fl""]";3;;;;91.0;0.5
1;"[""fl""]";1;;721.0;;91.0;0.5
1;"[""ew""]";1;30.0;117453.0;41320.0;91.0;0.5
1;"[""fl""]";1;1.0;250.0;;91.0;0.5
1;"[""ew""]";1;;;289239.0;91.0;0.5
1;"[""ew""]";1;12.0;85.0;;91.0;0.5
1;"[""ew""]";1;1.0;6.0;3306.0;91.0;0.5
1;"[""ew""]";1;6.0;;495838.0;91.0;0.5
1;"[""fl""]";1;11.0;300000.0;54542.0;91.0;0.5
1;"[""ew""]";1;15.0;400039.0;;91.0;0.5
1;"[""fl""]";1;;300.0;;91.0;0.5
1;"[""fl""]";1;100.0;9670000.0;148752.0;91.0;0.5
1;"[""fl"", ""ls""]";2;2.0;15000.0;33056.0;91.0;0.5
1;"[""eq""]";1;;131.0;;91.0;0.5
1;"[""ew""]";1;5.0;2017.0;;91.0;0.5
1;"[""ls""]";1;27.0;;;91.0;0.5
1;"[""vo""]";1;;;5124.0;91.0;0.5
1;"[""fl""]";1;32.0;1034.0;41320.0;91.0;0.5
1;"[""fl""]";1;;3852.0;;91.0;0.5
2;"[""ls"", ""fl"", ""ls""]";3;225.0;;;91.0;0.5
1;"[""fl""]";1;1.0;;9917.0;91.0;0.5
1;"[""fl""]";1;46.0;17.0;8264.0;91.0;0.5
1;"[""ew""]";1;100.0;;66112.0;91.0;0.5
1;"[""vo""]";1;;57645.0;2955.0;91.0;0.5
1;"[""eq""]";1;;300.0;;91.0;0.5
2;"[""ew"", ""fl""]";2;46.0;;;91.0;0.5
2;"[""fl"", ""fl""]";2;70.0;310000.0;;91.0;0.5
1;"[""fl""]";1;4.0;;;91.0;0.5
1;"[""ew""]";1;100.0;;396671.0;91.0;0.5
1;"[""fl"", ""ls""]";2;257.0;3694.0;;91.0;0.5
1;"[""fl""]";1;10.0;10000.0;;91.0;0.5
1;"[""fl""]";1;10.0;36.0;;91.0;0.5
1;"[""ew""]";1;11.0;200.0;;91.0;0.5
1;"[""fl""]";1;;453000.0;;91.0;0.5
1;"[""fl""]";1;;3600.0;;91.0;0.5
