Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2000-0549-RUS;2000-0705-RUS;145913.0;1.0;1.0;1.0;2000-08-28 00:00:00+00:00;2000-10-10 00:00:00+00:00;43.0
2000-0555-BGD;2000-0713-BGD;5651.0;1.0;0.12;1.0;2000-08-30 00:00:00+00:00;2000-10-28 00:00:00+00:00;59.0
2000-0557-CHN;2000-0677-CHN;211993.0;0.44;0.85;0.85;2000-09-01 00:00:00+00:00;2000-10-12 00:00:00+00:00;41.0
2000-0557-CHN;2000-9626-CHN;211993.0;0.44;1.0;1.0;2000-09-01 00:00:00+00:00;2000-09-01 00:00:00+00:00;0.0
2000-0558-NZL;2000-0687-NZL;92088.0;1.0;1.0;1.0;2000-08-20 00:00:00+00:00;2000-10-11 00:00:00+00:00;52.0
2000-0558-NZL;2001-0779-NZL;92088.0;1.0;0.39;1.0;2000-08-20 00:00:00+00:00;2001-01-01 00:00:00+00:00;134.0
2000-0576-JPN;2000-0606-JPN;32382.0;1.0;0.73;1.0;2000-09-11 00:00:00+00:00;2000-09-10 00:00:00+00:00;1.0
2000-0595-SLV;2001-0013-SLV;15412.0;0.91;0.76;0.91;2000-09-05 00:00:00+00:00;2001-01-13 00:00:00+00:00;130.0
2000-0595-SLV;2001-0042-SLV;5400.0;0.32;1.0;1.0;2000-09-05 00:00:00+00:00;2001-02-13 00:00:00+00:00;161.0
2000-0597-PHL;2000-0706-PHL;37.0;1.0;0.0;1.0;2000-09-04 00:00:00+00:00;2000-10-28 00:00:00+00:00;54.0
2000-0597-PHL;2000-0715-PHL;37.0;1.0;0.0;1.0;2000-09-04 00:00:00+00:00;2000-11-03 00:00:00+00:00;60.0
2000-0601-KOR;2001-0010-KOR;15079.0;1.0;0.2;1.0;2000-09-16 00:00:00+00:00;2001-01-08 00:00:00+00:00;114.0
2000-0605-CHN;2000-0677-CHN;38489.0;1.0;0.15;1.0;2000-09-09 00:00:00+00:00;2000-10-12 00:00:00+00:00;33.0
2000-0612-RUS;2001-0264-RUS;206891.0;0.39;1.0;1.0;2000-09-18 00:00:00+00:00;2001-03-03 00:00:00+00:00;166.0
2000-0614-USA;2000-9339-USA;2420.0;1.0;0.0;1.0;2000-09-20 00:00:00+00:00;2000-06-01 00:00:00+00:00;111.0
2000-0632-ITA;2001-0016-ITA;4258.0;0.12;1.0;1.0;2000-09-20 00:00:00+00:00;2001-01-01 00:00:00+00:00;103.0
2000-0644-NIC;2000-0875-NIC;1400.0;0.08;0.99;0.99;2000-09-29 00:00:00+00:00;2000-10-09 00:00:00+00:00;10.0
2000-0652-USA;2000-0937-USA;16947.0;0.82;0.01;0.82;2000-10-04 00:00:00+00:00;2000-12-16 00:00:00+00:00;73.0
2000-0652-USA;2000-9339-USA;20651.0;1.0;0.01;1.0;2000-10-04 00:00:00+00:00;2000-06-01 00:00:00+00:00;125.0
2000-0662-GBR;2000-0714-GBR;27491.0;0.36;0.77;0.77;2000-10-11 00:00:00+00:00;2000-10-28 00:00:00+00:00;17.0
2000-0662-GBR;2001-0131-GBR;8986.0;0.12;0.84;0.84;2000-10-11 00:00:00+00:00;2001-02-09 00:00:00+00:00;121.0
2000-0677-CHN;2000-9626-CHN;211993.0;0.85;1.0;1.0;2000-10-12 00:00:00+00:00;2000-09-01 00:00:00+00:00;41.0
2000-0677-CHN;2001-0795-CHN;211993.0;0.85;1.0;1.0;2000-10-12 00:00:00+00:00;2001-03-25 00:00:00+00:00;164.0
2000-0687-NZL;2001-0779-NZL;92088.0;1.0;0.39;1.0;2000-10-11 00:00:00+00:00;2001-01-01 00:00:00+00:00;82.0
2000-0701-IDN;2000-0791-IDN;3781.0;0.99;0.03;0.99;2000-10-29 00:00:00+00:00;2000-12-03 00:00:00+00:00;35.0
2000-0714-GBR;2001-0131-GBR;8975.0;0.25;0.83;0.83;2000-10-28 00:00:00+00:00;2001-02-09 00:00:00+00:00;104.0
2000-0721-IDN;2000-0791-IDN;3288.0;0.99;0.02;0.99;2000-11-05 00:00:00+00:00;2000-12-03 00:00:00+00:00;28.0
2000-0733-ARG;2000-0776-ARG;4751.0;0.0;1.0;1.0;2000-11-09 00:00:00+00:00;2000-11-22 00:00:00+00:00;13.0
2000-0733-ARG;2000-0839-ARG;478881.0;0.43;1.0;1.0;2000-11-09 00:00:00+00:00;2000-12-27 00:00:00+00:00;48.0
2000-0733-ARG;2001-0012-ARG;478881.0;0.43;1.0;1.0;2000-11-09 00:00:00+00:00;2001-01-10 00:00:00+00:00;62.0
2000-0733-ARG;2001-0121-ARG;478881.0;0.43;1.0;1.0;2000-11-09 00:00:00+00:00;2001-03-21 00:00:00+00:00;132.0
2000-0750-AUS;2001-0301-AUS;2050303.0;0.98;1.0;1.0;2000-11-17 00:00:00+00:00;2001-04-26 00:00:00+00:00;160.0
