Event1;Event2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2016-0209-CHN;2016-0236-CHN;144972.0;0.04;0.03;0.04;2016-06-24 00:00:00+00:00;2016-06-18 00:00:00+00:00;6.0
2016-0209-CHN;2016-0238-CHN;144972.0;0.04;0.05;0.05;2016-06-24 00:00:00+00:00;2016-06-23 00:00:00+00:00;1.0
2016-0209-CHN;2016-0241-CHN;144972.0;0.04;0.05;0.05;2016-06-24 00:00:00+00:00;2016-06-28 00:00:00+00:00;4.0
2016-0209-CHN;2016-0255-CHN;2120.0;0.0;1.0;1.0;2016-06-24 00:00:00+00:00;2016-07-07 00:00:00+00:00;13.0
2016-0209-CHN;2016-0257-CHN;652231.0;0.18;0.13;0.18;2016-06-24 00:00:00+00:00;2016-07-18 00:00:00+00:00;24.0
2016-0209-CHN;2016-0373-CHN;258676.0;0.07;0.04;0.07;2016-06-24 00:00:00+00:00;2016-08-04 00:00:00+00:00;41.0
2016-0224-MMR;2016-0232-MMR;62106.0;1.0;0.13;1.0;2016-05-23 00:00:00+00:00;2016-06-01 00:00:00+00:00;9.0
2016-0224-MMR;2016-0369-MMR;62106.0;1.0;0.15;1.0;2016-05-23 00:00:00+00:00;2016-07-01 00:00:00+00:00;39.0
2016-0229-PAK;2016-0240-PAK;21941.0;0.13;1.0;1.0;2016-06-01 00:00:00+00:00;2016-07-03 00:00:00+00:00;32.0
2016-0229-PAK;2016-0553-PAK;163487.0;0.99;0.17;0.99;2016-06-01 00:00:00+00:00;2016-03-09 00:00:00+00:00;84.0
2016-0232-MMR;2016-0369-MMR;409004.0;0.89;1.0;1.0;2016-06-01 00:00:00+00:00;2016-07-01 00:00:00+00:00;30.0
2016-0232-MMR;2016-0383-MMR;248228.0;0.54;1.0;1.0;2016-06-01 00:00:00+00:00;2016-08-24 00:00:00+00:00;84.0
2016-0233-CHN;2016-0236-CHN;2708865.0;0.93;0.52;0.93;2016-06-09 00:00:00+00:00;2016-06-18 00:00:00+00:00;9.0
