;Records;No records;Hazards;No hazards
2000-0582-VNM;"[""2000-0582-VNM""]";1;"[""ew""]";1
2000-0606-JPN;"[""2000-0606-JPN""]";1;"[""fl"", ""ls""]";2
2000-0577-ITA;"[""2000-0577-ITA""]";1;"[""fl""]";1
2000-0576-JPN;"[""2000-0606-JPN"", ""2000-0576-JPN""]";2;"[""fl"", ""ls"", ""ew""]";3
2000-0576-RUS;"[""2000-0576-RUS""]";1;"[""ew""]";1
2000-0609-GTM;"[""2000-0609-GTM""]";1;"[""fl"", ""ls""]";2
2000-0601-KOR;"[""2000-0601-KOR""]";1;"[""ew""]";1
2000-0586-PER;"[""2000-0586-PER""]";1;"[""ls""]";1
2000-0590-BRA;"[""2000-0590-BRA""]";1;"[""fl""]";1
2000-0612-RUS;"[""2000-0612-RUS""]";1;"[""fl""]";1
2000-0613-LKA;"[""2000-0613-LKA""]";1;"[""fl""]";1
2000-0610-IND;"[""2000-0610-IND""]";1;"[""fl""]";1
2000-0636-FRA;"[""2000-0636-FRA""]";1;"[""ew""]";1
2000-0614-USA;"[""2000-0614-USA""]";1;"[""ew""]";1
2000-0620-NGA;"[""2000-0620-NGA""]";1;"[""fl""]";1
2000-0648-COL;"[""2000-0648-COL""]";1;"[""fl""]";1
2000-0632-ITA;"[""2000-0632-ITA""]";1;"[""fl""]";1
2000-0611-MEX;"[""2000-0611-MEX""]";1;"[""ew""]";1
2000-0621-UGA;"[""2000-0621-UGA""]";1;"[""ew""]";1
2000-0634-NGA;"[""2000-0634-NGA""]";1;"[""ls""]";1
2000-0628-NGA;"[""2000-0628-NGA""]";1;"[""fl""]";1
2000-0618-IRN;"[""2000-0618-IRN""]";1;"[""fl""]";1
2000-0683-MYS;"[""2000-0683-MYS""]";1;"[""ew""]";1
2000-0644-NIC;"[""2000-0644-NIC""]";1;"[""ew""]";1
2000-0643-MEX;"[""2000-0611-MEX"", ""2000-0643-MEX""]";2;"[""ew"", ""ew""]";2
2000-0642-BLZ;"[""2000-0642-BLZ""]";1;"[""ew""]";1
2000-0827-MEX;"[""2000-0827-MEX""]";1;"[""cw""]";1
2000-0650-VEN;"[""2000-0650-VEN""]";1;"[""fl""]";1
2000-9495-AZE;"[""2000-9495-AZE""]";1;"[""dr""]";1
2000-0645-SLV;"[""2000-0645-SLV""]";1;"[""ew""]";1
2000-0653-TZA;"[""2000-0653-TZA""]";1;"[""eq""]";1
2000-0680-VNM;"[""2000-0680-VNM""]";1;"[""ls""]";1
2000-0652-USA;"[""2000-0652-USA""]";1;"[""ew""]";1
2000-0656-JPN;"[""2000-0656-JPN""]";1;"[""eq"", ""ls""]";2
2000-0875-NIC;"[""2000-0644-NIC"", ""2000-0875-NIC""]";2;"[""ew"", ""ew""]";2
2000-0657-AGO;"[""2000-0657-AGO""]";1;"[""ls""]";1
2000-0464-NGA;"[""2000-0464-NGA""]";1;"[""ew""]";1
2000-0705-RUS;"[""2000-0705-RUS""]";1;"[""cw""]";1
2000-0688-NOR;"[""2000-0688-NOR""]";1;"[""fl""]";1
2000-0687-NZL;"[""2000-0687-NZL""]";1;"[""ew""]";1
