Record1;Record2;Area_intersection;Percent1;Percent2;Percent;StartDate1;StartDate2;Timelag
2004-0556-CRI;2005-0021-CRI;6109.0;0.64;0.3;0.64;2004-11-01 00:00:00+00:00;2005-01-11 00:00:00+00:00;71.0
2004-0580-PHL;2004-0609-PHL;33797.0;0.9;0.56;0.9;2004-11-14 00:00:00+00:00;2004-11-29 00:00:00+00:00;15.0
2004-0580-PHL;2004-0618-PHL;9283.0;0.25;0.5;0.5;2004-11-14 00:00:00+00:00;2004-11-30 00:00:00+00:00;16.0
2004-0602-PHL;2004-0609-PHL;3356.0;1.0;0.06;1.0;2004-11-23 00:00:00+00:00;2004-11-29 00:00:00+00:00;6.0
2004-0609-PHL;2004-0618-PHL;5622.0;0.09;0.31;0.31;2004-11-29 00:00:00+00:00;2004-11-30 00:00:00+00:00;1.0
2004-0635-THA;2005-9153-THA;1549.0;0.5;0.01;0.5;2004-12-10 00:00:00+00:00;2005-01-01 00:00:00+00:00;22.0
2004-0652-LKA;2004-0659-LKA;18354.0;0.63;0.62;0.63;2004-12-11 00:00:00+00:00;2004-12-26 00:00:00+00:00;15.0
2004-0659-BGD;2005-0259-BGD;3858.0;0.05;0.74;0.74;2004-12-26 00:00:00+00:00;2005-05-21 00:00:00+00:00;146.0
2004-0659-IDN;2005-0160-IDN;7980.0;0.06;0.99;0.99;2004-12-26 00:00:00+00:00;2005-03-28 00:00:00+00:00;92.0
2004-0659-IDN;2005-0223-IDN;4357.0;0.03;1.0;1.0;2004-12-26 00:00:00+00:00;2005-04-26 00:00:00+00:00;121.0
2004-0659-IND;2005-0290-IND;21872.0;0.14;0.38;0.38;2004-12-26 00:00:00+00:00;2005-05-01 00:00:00+00:00;126.0
2004-0659-IND;2005-0323-IND;87842.0;0.56;0.07;0.56;2004-12-26 00:00:00+00:00;2005-06-01 00:00:00+00:00;157.0
2004-0661-AGO;2005-0137-AGO;1216.0;1.0;0.0;1.0;2004-12-18 00:00:00+00:00;2005-01-27 00:00:00+00:00;40.0
